# ========================================================
# 4-BAR PLANAR ANALYTICAL KINEMATIC DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (205.0, 0.0) mm
# Ground Distance (d): 205.0 mm
# Link 1 (Crank L1): 85.0 mm
# Link 2 (Coupler L2): 207.80038498520642 mm
# Link 3 (Rocker L3): 119.0 mm
# Coupler Point Offset (LP): 164.45364088398895 mm
# Coupler Point Angle (alpha): 28.916346831104075 deg
# Crank Velocity (omega1): 10.0 rad/s
# ========================================================
crank_angle_deg,coupler_p_x,coupler_p_y,vel_x,vel_y,vel_mag,acc_x,acc_y,acc_mag,acc_tangential,acc_normal
71.0,155.9602,183.2645,-758.4489,220.3267,789.8029,-4387.0141,-6068.3463,7488.0384,2520.0052,7051.2618
71.5,155.2967,183.4544,-762.2382,215.012,791.9831,-4297.3817,-6111.7831,7471.3708,2476.7215,7048.9171
72.0,154.6299,183.6397,-765.9494,209.66,794.1258,-4208.126,-6154.0853,7455.2726,2434.0556,7046.7342
72.5,153.9599,183.8203,-769.5828,204.2715,796.2315,-4119.2395,-6195.26,7439.7165,2391.9944,7044.6961
73.0,153.2867,183.9962,-773.1389,198.8475,798.3008,-4030.715,-6235.3144,7424.6757,2350.525,7042.7865
73.5,152.6105,184.1674,-776.6179,193.3891,800.3341,-3942.5459,-6274.2551,7410.1245,2309.6343,7040.9896
74.0,151.9313,184.3338,-780.02,187.8972,802.332,-3854.7258,-6312.089,7396.0381,2269.3095,7039.2907
74.5,151.2492,184.4953,-783.3457,182.3727,804.2949,-3767.2489,-6348.8226,7382.3921,2229.538,7037.6752
75.0,150.5641,184.652,-786.5952,176.8167,806.2234,-3680.1096,-6384.4623,7369.1631,2190.3072,7036.1296
75.5,149.8763,184.8039,-789.7688,171.2301,808.1179,-3593.3026,-6419.0143,7356.3285,2151.6045,7034.6405
76.0,149.1858,184.9509,-792.8668,165.6137,809.9788,-3506.8233,-6452.485,7343.8663,2113.4178,7033.1954
76.5,148.4925,185.093,-795.8895,159.9687,811.8067,-3420.6671,-6484.8801,7331.7552,2075.7348,7031.782
77.0,147.7967,185.2301,-798.8371,154.2958,813.6018,-3334.8299,-6516.2057,7319.9746,2038.5435,7030.3889
77.5,147.0983,185.3622,-801.71,148.5961,815.3647,-3249.308,-6546.4675,7308.5045,2001.8321,7029.0047
78.0,146.3975,185.4894,-804.5083,142.8704,817.0958,-3164.0978,-6575.671,7297.3258,1965.5888,7027.6187
78.5,145.6942,185.6116,-807.2324,137.1197,818.7955,-3079.1961,-6603.8218,7286.4197,1929.8021,7026.2206
79.0,144.9886,185.7287,-809.8826,131.3448,820.4641,-2994.6002,-6630.9253,7275.7681,1894.4606,7024.8004
79.5,144.2807,185.8408,-812.4591,125.5468,822.102,-2910.3074,-6656.9868,7265.3535,1859.5529,7023.3486
80.0,143.5706,185.9478,-814.9621,119.7265,823.7097,-2826.3155,-6682.0113,7255.1591,1825.068,7021.8559
80.5,142.8584,186.0498,-817.392,113.8848,825.2875,-2742.6224,-6706.0039,7245.1684,1790.9949,7020.3136
81.0,142.144,186.1466,-819.749,108.0226,826.8357,-2659.2264,-6728.9695,7235.3656,1757.3229,7018.713
81.5,141.4276,186.2383,-822.0333,102.1408,828.3547,-2576.126,-6750.913,7225.7354,1724.0411,7017.0459
82.0,140.7093,186.3249,-824.2453,96.2403,829.8449,-2493.3201,-6771.839,7216.2628,1691.1393,7015.3045
82.5,139.9891,186.4063,-826.3851,90.322,831.3064,-2410.8076,-6791.7523,7206.9336,1658.6069,7013.481
83.0,139.267,186.4825,-828.453,84.3868,832.7398,-2328.5879,-6810.6572,7197.7339,1626.4339,7011.568
83.5,138.5432,186.5536,-830.4493,78.4355,834.1452,-2246.6604,-6828.5582,7188.6501,1594.61,7009.5584
84.0,137.8176,186.6194,-832.3743,72.469,835.523,-2165.0248,-6845.4597,7179.6693,1563.1256,7007.4453
84.5,137.0904,186.68,-834.2281,66.4882,836.8735,-2083.6812,-6861.3658,7170.7788,1531.9706,7005.2219
85.0,136.3617,186.7354,-836.0111,60.4939,838.1969,-2002.6297,-6876.2809,7161.9665,1501.1356,7002.882
85.5,135.6313,186.7856,-837.7234,54.4871,839.4935,-1921.8707,-6890.2088,7153.2205,1470.6111,7000.4191
86.0,134.8996,186.8305,-839.3654,48.4685,840.7637,-1841.4047,-6903.1537,7144.5295,1440.3877,6997.8272
86.5,134.1664,186.8702,-840.9374,42.4391,842.0076,-1761.2326,-6915.1194,7135.8823,1410.4562,6995.1004
87.0,133.4319,186.9046,-842.4395,36.3997,843.2255,-1681.3554,-6926.1097,7127.2682,1380.8075,6992.233
87.5,132.6961,186.9337,-843.872,30.3511,844.4176,-1601.7742,-6936.1286,7118.6769,1351.4327,6989.2196
88.0,131.9591,186.9576,-845.2352,24.2941,845.5842,-1522.4904,-6945.1796,7110.0982,1322.3229,6986.0546
88.5,131.2209,186.9761,-846.5293,18.2297,846.7256,-1443.5055,-6953.2664,7101.5225,1293.4695,6982.7329
89.0,130.4816,186.9894,-847.7547,12.1587,847.8418,-1364.8213,-6960.3925,7092.9403,1264.8639,6979.2493
89.5,129.7413,186.9973,-848.9115,6.0818,848.9332,-1286.4395,-6966.5616,7084.3424,1236.4976,6975.599
90.0,129.0,187.0,-850.0,0.0,850.0,-1208.3624,-6971.777,7075.72,1208.3624,6971.777
90.5,128.2578,186.9973,-851.0205,-6.086,851.0423,-1130.592,-6976.0422,7067.0646,1180.45,6967.7787
91.0,127.5147,186.9894,-851.9733,-12.1752,852.0603,-1053.1307,-6979.3604,7058.3678,1152.7523,6963.5995
91.5,126.7708,186.9761,-852.8587,-18.267,853.0543,-975.981,-6981.7351,7049.6215,1125.2613,6959.2349
92.0,126.0262,186.9575,-853.6768,-24.3604,854.0243,-899.1457,-6983.1693,7040.8179,1097.9692,6954.6805
92.5,125.2809,186.9336,-854.4281,-30.4546,854.9707,-822.6275,-6983.6665,7031.9495,1070.8682,6949.932
93.0,124.535,186.9043,-855.1127,-36.5489,855.8934,-746.4293,-6983.2297,7023.0089,1043.9507,6944.9853
93.5,123.7885,186.8698,-855.7309,-42.6424,856.7928,-670.5543,-6981.862,7013.9889,1017.209,6939.8362
94.0,123.0415,186.8299,-856.2831,-48.7343,857.6688,-595.0056,-6979.5666,7004.8827,990.6357,6934.4807
94.5,122.294,186.7847,-856.7695,-54.8238,858.5218,-519.7867,-6976.3464,6995.6835,964.2235,6928.9148
95.0,121.5461,186.7342,-857.1904,-60.91,859.3518,-444.9009,-6972.2046,6986.3849,937.9651,6923.1348
95.5,120.7979,186.6784,-857.5461,-66.9923,860.1589,-370.352,-6967.144,6976.9805,911.8534,6917.1367
96.0,120.0494,186.6173,-857.8369,-73.0697,860.9433,-296.1435,-6961.1678,6967.4642,885.8811,6910.9169
96.5,119.3007,186.5509,-858.0631,-79.1415,861.7051,-222.2794,-6954.2787,6957.8302,860.0415,6904.4717
97.0,118.5519,186.4792,-858.225,-85.207,862.4444,-148.7636,-6946.4798,6948.0726,834.3275,6897.7975
97.5,117.8029,186.4022,-858.3228,-91.2652,863.1613,-75.6001,-6937.7739,6938.1858,808.7323,6890.8907
98.0,117.0538,186.3199,-858.357,-97.3154,863.8559,-2.7931,-6928.164,6928.1645,783.2492,6883.7479
98.5,116.3048,186.2323,-858.3278,-103.3568,864.5283,69.6531,-6917.6528,6918.0034,757.8716,6876.3655
99.0,115.5558,186.1395,-858.2355,-109.3887,865.1787,141.7342,-6906.2432,6907.6975,732.5929,6868.7402
99.5,114.8069,186.0414,-858.0805,-115.4102,865.807,213.4456,-6893.9382,6897.2417,707.4066,6860.8686
100.0,114.0582,185.9381,-857.8631,-121.4207,866.4134,284.7829,-6880.7404,6886.6313,682.3062,6852.7475
100.5,113.3097,185.8295,-857.5836,-127.4191,866.9979,355.7413,-6866.6528,6875.8616,657.2855,6844.3735
