# ========================================================
# 4-BAR PLANAR ANALYTICAL KINEMATIC DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank L1): 50.0 mm
# Link 2 (Coupler L2): 120.0 mm
# Link 3 (Rocker L3): 100.0 mm
# Coupler Point Offset (LP): 80.0 mm
# Coupler Point Angle (alpha): 30.0 deg
# Crank Velocity (omega1): 10.0 rad/s
# ========================================================
crank_angle_deg,coupler_p_x,coupler_p_y,vel_x,vel_y,vel_mag,acc_x,acc_y,acc_mag,acc_tangential,acc_normal
82.0,54.5672,113.8051,-396.3363,-3.5739,396.3524,-2349.9461,-3961.557,4606.1025,2385.5718,3940.2066
82.5,54.2204,113.8005,-398.3625,-7.0337,398.4246,-2293.6771,-3967.5908,4582.8737,2363.3623,3926.4806
83.0,53.8719,113.7929,-400.3396,-10.4985,400.4772,-2237.6087,-3973.2607,4560.0102,2340.999,3913.2361
83.5,53.5217,113.7822,-402.2679,-13.9682,402.5103,-2181.7429,-3978.5633,4537.5068,2318.4958,3900.4545
84.0,53.1698,113.7685,-404.1475,-17.4423,404.5237,-2126.0819,-3983.4949,4515.3578,2295.8658,3888.1173
84.5,52.8164,113.7518,-405.9787,-20.9206,406.5173,-2070.6279,-3988.0523,4493.5577,2273.1213,3876.2069
85.0,52.4613,113.732,-407.7615,-24.4027,408.4911,-2015.3827,-3992.2321,4472.1007,2250.2738,3864.7059
85.5,52.1047,113.7092,-409.4962,-27.8883,410.4448,-1960.3486,-3996.0311,4450.981,2227.3343,3853.5975
86.0,51.7466,113.6833,-411.183,-31.377,412.3785,-1905.5276,-3999.4465,4430.1928,2204.3128,3842.8652
86.5,51.3871,113.6544,-412.8221,-34.8685,414.292,-1850.9217,-4002.4753,4409.7301,2181.219,3832.4931
87.0,51.0261,113.6224,-414.4136,-38.3625,416.1854,-1796.5329,-4005.1147,4389.587,2158.0618,3822.4656
87.5,50.6638,113.5874,-415.9577,-41.8586,418.0585,-1742.3632,-4007.362,4369.7574,2134.8495,3812.7677
88.0,50.3001,113.5494,-417.4546,-45.3565,419.9114,-1688.4148,-4009.2147,4350.2353,2111.59,3803.3847
88.5,49.9352,113.5083,-418.9046,-48.8559,421.7439,-1634.6895,-4010.6704,4331.0145,2088.2906,3794.3022
89.0,49.569,113.4641,-420.3078,-52.3564,423.5561,-1581.1895,-4011.7266,4312.0889,2064.9581,3785.5064
89.5,49.2016,113.4169,-421.6643,-55.8576,425.348,-1527.9167,-4012.3812,4293.4522,2041.5988,3776.9838
90.0,48.8331,113.3666,-422.9745,-59.3592,427.1194,-1474.8731,-4012.632,4275.0984,2018.2187,3768.7212
90.5,48.4634,113.3133,-424.2386,-62.8608,428.8704,-1422.0608,-4012.4769,4257.021,1994.8232,3760.7059
91.0,48.0927,113.2569,-425.4566,-66.3622,430.601,-1369.4818,-4011.9142,4239.214,1971.4174,3752.9254
91.5,47.7209,113.1975,-426.6288,-69.8628,432.3112,-1317.1381,-4010.9418,4221.6711,1948.006,3745.3678
92.0,47.3481,113.135,-427.7555,-73.3625,434.0009,-1265.0318,-4009.5581,4204.386,1924.5934,3738.0212
92.5,46.9743,113.0694,-428.8368,-76.8607,435.6702,-1213.165,-4007.7615,4187.3526,1901.1836,3730.8742
93.0,46.5996,113.0008,-429.8729,-80.3572,437.3191,-1161.5396,-4005.5504,4170.5644,1877.7802,3723.9158
93.5,46.2241,112.9292,-430.8641,-83.8516,438.9476,-1110.1577,-4002.9232,4154.0155,1854.3867,3717.1353
94.0,45.8476,112.8545,-431.8106,-87.3435,440.5556,-1059.0215,-3999.8788,4137.6995,1831.0061,3710.522
94.5,45.4704,112.7767,-432.7125,-90.8326,442.1433,-1008.133,-3996.4157,4121.6102,1807.6413,3704.0658
95.0,45.0924,112.696,-433.5702,-94.3184,443.7106,-957.4944,-3992.5329,4105.7416,1784.2948,3697.7569
95.5,44.7137,112.6121,-434.3838,-97.8007,445.2575,-907.1077,-3988.2291,4090.0875,1760.9688,3691.5856
96.0,44.3343,112.5253,-435.1535,-101.2791,446.7841,-856.9751,-3983.5034,4074.6418,1737.6655,3685.5426
96.5,43.9542,112.4354,-435.8795,-104.7531,448.2903,-807.0987,-3978.3549,4059.3985,1714.3867,3679.6187
97.0,43.5736,112.3424,-436.5622,-108.2225,449.7762,-757.4807,-3972.7827,4044.3515,1691.134,3673.8052
97.5,43.1923,112.2465,-437.2017,-111.6868,451.2419,-708.1232,-3966.786,4029.4949,1667.9089,3668.0934
98.0,42.8105,112.1475,-437.7982,-115.1457,452.6873,-659.0285,-3960.3641,4014.8229,1644.7126,3662.475
98.5,42.4282,112.0455,-438.352,-118.5988,454.1125,-610.1988,-3953.5166,4000.3295,1621.5461,3656.9419
99.0,42.0455,111.9405,-438.8633,-122.0458,455.5174,-561.6362,-3946.2427,3986.0089,1598.4104,3651.4862
99.5,41.6623,111.8325,-439.3323,-125.4862,456.9022,-513.3431,-3938.5422,3971.8554,1575.3062,3646.1001
100.0,41.2787,111.7215,-439.7593,-128.9197,458.2669,-465.3216,-3930.4146,3957.8634,1552.234,3640.7764
