# ========================================================
# 4-BAR PLANAR KINEMATIC ENGINE DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank Length L1): 50.0 mm
# Link 2 (Coupler Length L2): 120.0 mm
# Link 3 (Rocker Length L3): 100.0 mm
# Coupler Point Offset (LP): 80.0 mm
# Coupler Point Offset Angle (alpha): 30.0 deg (ref to segment AB)
# Resolution Steps: 720 (Step size: 0.50 deg)
# ========================================================
step,crank_angle_deg,coupler_angle_deg,rocker_angle_deg,pivot_a_x,pivot_a_y,pivot_b_x,pivot_b_y,coupler_p_x,coupler_p_y
183,91.5,22.2026,107.5816,-1.3088,49.9829,109.7936,95.3288,47.7209,113.1975
184,92.0,22.1452,107.8166,-1.745,49.9695,109.4028,95.2041,47.3481,113.135
185,92.5,22.0887,108.0524,-2.181,49.9524,109.0114,95.0774,46.9743,113.0694
186,93.0,22.0332,108.2889,-2.6168,49.9315,108.6192,94.9487,46.5996,113.0008
187,93.5,21.9786,108.526,-3.0524,49.9067,108.2264,94.8179,46.2241,112.9292
188,94.0,21.9249,108.7639,-3.4878,49.8782,107.833,94.6852,45.8476,112.8545
189,94.5,21.8722,109.0025,-3.923,49.8459,107.4391,94.5504,45.4704,112.7767
190,95.0,21.8205,109.2417,-4.3578,49.8097,107.0446,94.4137,45.0924,112.696
191,95.5,21.7696,109.4816,-4.7923,49.7698,106.6496,94.2749,44.7137,112.6121
192,96.0,21.7197,109.7221,-5.2264,49.7261,106.2542,94.1341,44.3343,112.5253
193,96.5,21.6707,109.9632,-5.6602,49.6786,105.8584,93.9912,43.9542,112.4354
194,97.0,21.6227,110.2049,-6.0935,49.6273,105.4622,93.8464,43.5736,112.3424
195,97.5,21.5755,110.4471,-6.5263,49.5722,105.0657,93.6995,43.1923,112.2465
196,98.0,21.5293,110.6899,-6.9587,49.5134,104.669,93.5506,42.8105,112.1475
197,98.5,21.484,110.9333,-7.3905,49.4508,104.2719,93.3997,42.4282,112.0455
